"Name","Network Address","Device Location"
"IMPSC0012","10.201.120.6","IMPDENUE1"
"IMPSC0216","10.201.120.7","IMPDENUE1"
"IMPSC0244","10.201.136.1","IMPDESCM2"
"IMPSA0307","10.201.136.5","IMPDESCM2"
"IMPSA0306","10.201.136.6","IMPDESCM2"
"IMPSC0245","10.201.144.1","IMPDESTR2"
"IMPSC0246","10.201.152.1","IMPDEBER11-Berlin"
"IMPSA0304","10.201.160.1","IMPDEMHM10"
"IMPSC0223","10.201.168.1","IMPDEDTM1"
"IMPSC0232","10.201.176.1","IMPDEMAL1"
"IMPSC0236","10.201.192.1","IMPDERDO1"
"IMPSC0239","10.201.200.1","IMPDELUH1"
"IMPSC0006","10.201.208.1","IMPDEFBG2"
"IMPSA0013","10.201.208.5","IMPDEFBG2"
"IMPSA0014","10.201.208.6","IMPDEFBG2"
"IMPSA0015","10.201.208.8","IMPDEFBG2"
"IMPSC0233","10.201.224.1","IMPDEMHG2"
"IMPSC0197","10.201.224.5","IMPDEMHG2"
"IMPSC0247","10.201.232.1","IMPDECGN2"
"IMPSA0322","10.201.232.6","DECGN2"
"IMPSC0221","10.201.240.1","IMPDEBER19"
"IMPSC0173","10.201.240.5","DEBER21"
"IMPSA0351","10.201.248.1","IMPDEEBX10"
"IMPSC0228","10.202.0.1","IMPDEMUC16"
"IMPSA0318","10.202.0.5","IMPDEMUC16"
"IMPSC0260","10.202.8.1","IMPDEHAM5"
"IMPSA0375","10.202.8.5","IMPDEHAM5"
"IMPSC0226","10.202.16.1","IMPDEMUC17"
"IMPSC0227","10.202.24.1","IMPDEGOE2"
"IMPSC0186","10.202.32.1","IMPDEHAM1"
"IMPSA0161","10.202.32.5","IMPDEHAM1"
"IMPSA0343","10.202.48.1","IMPDEMUC18"
"IMPSA0344","10.202.48.5","IMPDEMUC18"
"IMPSC0192","10.202.56.1","IMPDEHAM2"
"IMPSC0174","10.202.64.1","IMPDEDUS1"
"IMPSA0135","10.202.64.5","IMPDEDUS1"
"IMPSA0350","10.202.72.1","IMPDEMUC19"
"IMPSA0248","10.202.80.1","DEDUS15"
"IMPSC0199","10.202.88.1","IMPDEMAI1"
"IMPSC0261","10.202.104.1","IMPDEKSH1"
"IMPSA0376","10.202.104.5","IMPDEKSH1"
"IMPSC0198","10.202.120.1","IMPDEMHG3"
"IMPSA0201","10.202.120.5","IMPDEMHG3"
"IMPSA0202","10.202.120.6","IMPDEMHG3"
"IMPSA0203","10.202.120.7","IMPDEMHG3"
"IMPSA0204","10.202.120.8","IMPDEMHG3"
"IMPSA0205","10.202.120.9","IMPDEMHG3"
"IMPSA0206","10.202.120.10","IMPDEMHG3"
"IMPSA0207","10.202.120.11","IMPDEMHG3"
"IMPSA0208","10.202.120.12","IMPDEMHG3"
"IMPSA0209","10.202.120.13","IMPDEMHG3"
"IMPSA0210","10.202.120.14","IMPDEMHG3"
"IMPSA0211","10.202.120.15","IMPDEMHG3"
"IMPSA0212","10.202.120.16","IMPDEMHG3"
"IMPSA0213","10.202.120.17","IMPDEMHG3"
"IMPSC0168","10.202.120.18","IMPDEMHG3"
"IMPSC0176","10.202.128.1","IMPDEERF12"
"IMPSA0156","10.202.136.1","IMPDELNN1"
"IMPSA0157","10.202.136.5","IMPDELNN1"
"IMPSC0193","10.202.144.1","IMPDEARS1"
"IMPSA0192","10.202.144.5","IMPDEARS1"
"IMPSC0005","10.202.152.1","IMPDEBLA1"
"IMPSC0202","10.202.160.1","IMPDEVRD1"
"IMPSA0214","10.202.160.5","IMPDEVRD1"
"IMPSA0215","10.202.160.6","IMPDEVRD1"
"IMPSC0259","10.209.0.1","IMPNOLYS1"
"IMPSA0365","10.209.0.5","IMPNOLYS1"
"IMPSA0369","10.209.0.6","IMPNOLYS1"
"IMPSA0372","10.209.0.7","IMPNOLYS1"
"IMPSC0203","10.212.0.1","IMPROVAR1"
"IMPSA0216","10.212.0.5","IMPROVAR1"
"IMPSA0217","10.212.0.6","IMPROVAR1"
"IMPSA0353","10.212.0.7","IMPROVAR1"
"IMPSC0166","10.214.8.1","IMPSEGOT1"
"IMPSA0159","10.214.8.5","IMPSEGOT1"
"IMPSA0160","10.214.8.6","IMPSEGOT1"
"IMPSC0157","10.215.0.1","IMPSELUN10"
"IMPSC0155","10.215.8.1","IMPSEJOH10"
"IMPSW0011","10.215.16.1","IMPSEVAG10"
"IMPSW0012","10.215.16.5","IMPSEVAG10"
"IMPSW0010","10.215.24.1","IMPSEVAG11"
"IMPSW0019","10.215.32.1","IMPSEVAG12"
"IMPSW0020","10.215.32.5","IMPSEVAG12"
"IMPSW0017","10.215.32.6","IMPSEVAG12"
"IMPSW0015","10.215.40.1","IMPSESTO16"
