,10.201.168.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.201.176.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   0.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=1),
,10.201.192.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.201.200.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.201.208.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   7.   (Number of active ports=3),VLAN 140: sh vlan ARGE-DMZ,    Ports:   7.   (Number of active ports=3),VLAN 160: sh vlan ARGE-Clients,    Ports:   9.   (Number of active ports=4),
,10.201.224.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=2),
,10.201.232.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=1),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=2),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=2),
,10.201.24.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=2),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=3),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=3),
,10.201.240.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   4.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   5.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   5.   (Number of active ports=1),
,10.201.248.1,VLAN 130: sh vlan Voice-Ph1Vl130,    Ports:   2.   (Number of active ports=0),VLAN 140: sh vlan ARGE-DMZ,    Ports:   3.   (Number of active ports=1),VLAN 160: sh vlan ARGE-Clients,    Ports:   3.   (Number of active ports=1),
