10.192.16.1,Default,10.225.0.88
10.192.16.1,Printer,10.192.10.42
10.192.16.1,Printer,10.192.10.43
10.192.16.1,Clients,10.192.10.42
10.192.16.1,Clients,10.192.10.43
10.192.16.1,Clients,10.192.17.12
10.192.16.1,Wifi-Ph1-VoicePh2,10.225.0.88
10.192.16.1,Voice-Ph1Vl130,10.192.10.42
10.192.16.1,Voice-Ph1Vl130,10.192.10.43
10.192.16.1,Wifi-Ph2Vl250,10.192.10.42
10.192.16.1,Wifi-Ph2Vl250,10.192.10.43
10.192.40.1,Default,10.225.0.88
10.192.40.1,Server,10.192.10.42
10.192.40.1,Server,10.192.10.43
10.192.40.1,Printer,10.192.10.42
10.192.40.1,Printer,10.192.10.43
10.192.40.1,Clients,10.192.10.42
10.192.40.1,Clients,10.192.10.43
10.192.40.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.192.40.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.192.40.1,Wifi-Ph2Vl250,10.192.10.42
10.192.40.1,Wifi-Ph2Vl250,10.192.10.43
10.192.48.1,Default,10.225.0.88
10.192.48.1,Server,10.192.10.42
10.192.48.1,Server,10.192.10.43
10.192.48.1,Printer,10.192.10.42
10.192.48.1,Printer,10.192.10.43
10.192.48.1,Clients,10.192.10.42
10.192.48.1,Clients,10.192.10.43
10.192.48.1,Clients,10.192.49.12
10.192.48.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.192.48.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.192.48.1,Wifi-Ph2Vl250,10.192.10.42
10.192.48.1,Wifi-Ph2Vl250,10.192.10.43
10.199.0.1,Default,10.225.0.88
10.199.0.1,Clients,10.192.10.42
10.199.0.1,Clients,10.192.10.43
10.199.0.1,Clients,10.199.1.11
10.199.0.1,Printer,10.192.10.42
10.199.0.1,Printer,10.192.10.43
10.199.0.1,Server,10.192.10.42
10.199.0.1,Server,10.192.10.43
10.199.0.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.199.0.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.199.0.1,Wifi-Ph2Vl250,10.192.10.42
10.199.0.1,Wifi-Ph2Vl250,10.192.10.43
10.200.176.1,Default,10.225.0.88
10.200.176.1,Server,10.192.10.42
10.200.176.1,Server,10.192.10.43
10.200.176.1,Printer,10.192.10.42
10.200.176.1,Printer,10.192.10.43
10.200.176.1,Clients,10.192.10.42
10.200.176.1,Clients,10.192.10.43
10.200.176.1,Clients,10.200.177.12
10.200.176.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.200.176.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.200.176.1,Wifi-Ph2Vl250,10.192.10.42
10.200.176.1,Wifi-Ph2Vl250,10.192.10.43
10.200.192.1,Default,10.225.0.88
10.200.192.1,Clients,10.192.10.42
10.200.192.1,Clients,10.192.10.43
10.200.192.1,Clients,10.192.15.168
10.200.192.1,IMP-Spec-Serv,10.192.10.42
10.200.192.1,IMP-Spec-Serv,10.192.10.43
10.200.192.1,Printer,10.192.10.42
10.200.192.1,Printer,10.192.10.43
10.200.192.1,Server,10.192.10.42
10.200.192.1,Server,10.192.10.43
10.200.192.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.200.192.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.200.192.1,Wifi-Ph2Vl250,10.192.10.42
10.200.192.1,Wifi-Ph2Vl250,10.192.10.43
10.200.216.1,Default,10.225.0.88
10.200.216.1,Server,10.192.10.42
10.200.216.1,Server,10.192.10.43
10.200.216.1,Printer,10.192.10.42
10.200.216.1,Printer,10.192.10.43
10.200.216.1,Clients,10.192.10.42
10.200.216.1,Clients,10.192.10.43
10.200.216.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.200.216.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.200.216.1,Wifi-Ph2Vl250,10.192.10.42
10.200.216.1,Wifi-Ph2Vl250,10.192.10.43
10.200.40.1,Default,10.225.0.88
10.200.40.1,Server,10.192.10.42
10.200.40.1,Server,10.192.10.43
10.200.40.1,Printer,10.192.10.42
10.200.40.1,Printer,10.192.10.43
10.200.40.1,Clients,10.192.10.42
10.200.40.1,Clients,10.192.10.43
10.200.40.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.200.40.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.200.40.1,IMP-Spec-Serv,10.192.10.42
10.200.40.1,IMP-Spec-Serv,10.192.10.43
10.200.40.1,Wifi-Ph2Vl250,10.192.10.42
10.200.40.1,Wifi-Ph2Vl250,10.192.10.43
10.200.56.1,Default,10.225.0.88
10.200.56.1,Server,10.192.10.42
10.200.56.1,Server,10.192.10.43
10.200.56.1,Printer,10.192.10.42
10.200.56.1,Printer,10.192.10.43
10.200.56.1,Clients,10.192.10.42
10.200.56.1,Clients,10.192.10.43
10.200.56.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.200.56.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.200.56.1,Wifi-Ph2Vl250,10.192.10.42
10.200.56.1,Wifi-Ph2Vl250,10.192.10.43
10.200.88.1,Default,10.225.0.88
10.200.88.1,Server,10.192.10.42
10.200.88.1,Server,10.192.10.43
10.200.88.1,Printer,10.192.10.42
10.200.88.1,Printer,10.192.10.43
10.200.88.1,Clients,10.192.10.42
10.200.88.1,Clients,10.192.10.43
10.200.88.1,Clients,10.200.89.12
10.200.88.1,Wifi-Ph1-VoicePh2,10.192.10.42
10.200.88.1,Wifi-Ph1-VoicePh2,10.192.10.43
10.200.88.1,Wifi-Ph2Vl250,10.192.10.42
10.200.88.1,Wifi-Ph2Vl250,10.192.10.43
10.201.0.1,Default,10.225.0.88
10.201.0.1,Clients,10.192.10.42
10.201.0.1,Clients,10.192.10.43
10.201.0.1,Clients,10.201.4.37
10.201.0.1,IMP-Spec-Serv,10.192.10.42
10.201.0.1,IMP-Spec-Serv,10.192.10.43
