10.192.16.1,Clients,10.192.17.12
10.192.48.1,Clients,10.192.49.12
10.199.0.1,Clients,10.199.1.11
10.200.176.1,Clients,10.200.177.12
10.200.192.1,Clients,10.192.15.168
10.200.88.1,Clients,10.200.89.12
10.201.0.1,Clients,10.201.4.37
10.201.112.1,Clients,10.201.113.12
10.201.136.1,Clients,10.201.137.12
10.201.144.1,Clients,10.201.145.12
10.201.168.1,Clients,10.192.15.168
10.201.208.1,Clients,10.201.209.12
10.201.232.1,Clients,10.201.233.12
10.201.24.1,Clients,10.201.25.12
10.201.40.1,Clients,10.201.41.12
10.201.64.1,Clients,10.201.65.12
10.201.72.1,Clients,10.201.73.12
10.202.136.1,Server,10.202.137.12
10.202.144.1,Clients,10.202.145.12
10.202.160.1,Clients,10.192.15.168
10.202.24.1,Clients,10.192.15.168
10.202.32.1,Clients,10.202.33.12
10.202.56.1,Clients,10.202.57.12
10.202.88.1,Clients,10.192.15.168
10.214.8.1,Clients,10.214.9.12
10.215.32.1,Clients,10.215.33.12
10.215.56.1,Clients,10.192.15.168
10.216.112.1,Clients,10.216.113.11
10.216.128.1,Clients,10.216.130.11
10.216.144.1,Clients,10.216.145.11
10.216.144.1,Wifi-Ph1-VoicePh2,10.39.10.10
10.216.64.1,Clients,10.192.15.168
10.216.72.1,Clients,10.192.15.168
10.216.80.1,Clients,10.216.81.12
10.217.104.1,Clients,10.192.15.168
10.217.120.1,Clients,10.217.121.11
10.217.128.1,Clients,10.37.10.12
10.217.136.1,Clients,10.217.137.12
10.217.144.1,Clients,10.217.145.11
10.217.152.1,Clients,10.217.153.11
10.217.160.1,Clients,10.217.161.11
10.217.176.1,Clients,10.217.177.11
10.217.184.1,Clients,10.217.185.11
10.217.200.1,Clients,10.160.10.12
10.217.208.1,Clients,10.217.209.12
10.217.232.1,Clients,10.217.232.11
10.217.24.1,Clients,10.217.25.11
10.217.32.1,Clients,10.217.22.11
10.217.40.1,Clients,10.217.41.11
10.217.48.1,Clients,10.217.49.11
10.217.56.1,Clients,10.79.10.12
10.217.64.1,Clients,10.217.65.11
10.217.72.1,Clients,10.217.73.11
10.217.80.1,Clients,10.217.81.11
10.217.88.1,Clients,10.217.89.11
10.218.104.1,Clients,10.218.105.11
10.218.112.1,Clients,10.218.113.11
10.218.120.1,Clients,10.192.15.168
10.218.128.1,Clients,10.218.161.11
10.218.136.1,Clients,10.170.10.12
10.218.144.1,Clients,10.192.15.168
10.218.152.1,Clients,10.10.10.42
10.218.152.1,Clients,10.218.153.11
10.218.16.1,Clients,10.218.17.11
10.218.168.1,Clients,10.218.169.11
10.218.176.1,Clients,10.192.15.168
10.218.192.1,Clients,10.218.193.11
10.218.208.1,Clients,10.218.209.11
10.218.216.1,Clients,10.218.161.11
10.218.224.1,Clients,10.192.15.168
10.218.224.1,Clients,10.10.10.42
10.218.232.1,Clients,10.218.233.12
10.218.24.1,Clients,10.218.25.11
10.218.240.1,Clients,10.218.241.11
10.218.32.1,Clients,10.218.33.11
10.218.40.1,Clients,10.218.41.11
10.218.48.1,Clients,10.192.15.168
10.218.64.1,Clients,10.192.15.168
10.218.72.1,Clients,10.192.15.168
10.218.8.1,Clients,10.218.9.12
10.218.80.1,Clients,10.218.81.11
10.218.88.1,Clients,10.192.15.168
10.218.96.1,Clients,10.21.10.22
10.72.144.1,Clients,10.192.15.168
10.72.48.1,Clients,10.192.15.168
10.72.88.1,Clients,10.72.89.12
10.87.16.1,Clients,10.87.17.11
